bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,122,-16.19,609,655,-7.55,0,0
coremark_toy,fixed_hazard,150,162,-8.00,927,957,-3.24,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,825,-3.38,0,0
dsp_fir_codegen,fixed_hazard,168,182,-8.33,1046,1077,-2.96,0,0
load_use_heavy,fixed_hazard,169,186,-10.06,1017,1063,-4.52,0,0
memory_heavy,fixed_memory,147,198,-34.69,839,1066,-27.06,0,0
mixed_control,fixed_memory,105,122,-16.19,617,693,-12.32,0,0
pid_control_codegen,fixed_memory,178,188,-5.62,1080,1127,-4.35,0,0
tiny_fir,fixed_memory,127,154,-21.26,739,834,-12.86,0,0
