bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,122,-16.19,609,655,-7.55,0,0
coremark_toy,fixed_hazard,150,162,-8.00,927,957,-3.24,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,825,-3.38,0,0
dsp_fir_codegen,fixed_hazard,168,182,-8.33,1046,1077,-2.96,0,0
load_use_heavy,fixed_hazard,169,186,-10.06,1017,1063,-4.52,0,0
long_fir_stress,fixed_memory,778,828,-6.43,4656,4956,-6.44,0,0
memory_heavy,fixed_memory,147,174,-18.37,839,957,-14.06,0,0
mixed_control,fixed_memory,105,122,-16.19,617,693,-12.32,0,0
pid_control_codegen,fixed_memory,178,188,-5.62,1080,1127,-4.35,0,0
pid_phase_stress,fixed_memory,611,622,-1.80,3775,3867,-2.44,0,0
random_mem_latency_stress,fixed_memory,189,204,-7.94,1109,1197,-7.94,0,0
tiny_fir,fixed_memory,127,145,-14.17,739,806,-9.07,0,0
