bench,best_fixed_mode,best_fixed_cycles,adaptive_cycles,adaptive_gap_to_best_fixed_pct,best_fixed_energy,adaptive_energy,adaptive_energy_gap_to_best_fixed_pct,adaptive_safety_faults,adaptive_timed_out
arithmetic_heavy,fixed_hazard,29,30,-3.45,173,176,-1.73,0,0
branch_heavy,fixed_branch,105,122,-16.19,609,655,-7.55,0,0
coremark_toy,fixed_hazard,150,164,-9.33,927,955,-3.02,0,0
dhrystone_toy,fixed_branch,124,133,-7.26,798,820,-2.76,0,0
dsp_fir_codegen,fixed_hazard,168,188,-11.90,1046,1074,-2.68,0,0
load_use_heavy,fixed_hazard,169,186,-10.06,1017,1063,-4.52,0,0
memory_heavy,fixed_memory,147,197,-34.01,839,1071,-27.65,0,0
mixed_control,fixed_memory,105,122,-16.19,617,693,-12.32,0,0
pid_control_codegen,fixed_memory,178,188,-5.62,1080,1127,-4.35,0,0
tiny_fir,fixed_memory,127,153,-20.47,739,833,-12.72,0,0
